City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port douglas,-16.4833,145.4667,23.36,66,2,3.09,AU,2023-07-22
1,port-aux-francais,-49.35,70.2167,0.7,96,100,1.52,TF,2023-07-22
2,hanjiashu,39.1875,117.0731,23.98,51,9,3.22,CN,2023-07-22
3,waitangi,-43.9535,-176.5597,12.12,91,100,3.13,NZ,2023-07-22
4,puerto ayora,-0.7393,-90.3518,24.57,81,94,4.43,EC,2023-07-22
5,uliastay,47.7417,96.8444,24.15,27,100,3.58,MN,2023-07-22
6,albany,42.6001,-73.9662,18.23,93,0,0.45,US,2023-07-22
7,canandaigua,42.8742,-77.288,17.96,87,0,2.24,US,2023-07-22
8,el nido,11.1858,119.3956,25.64,92,100,4.68,PH,2023-07-22
9,chapada dos guimaraes,-15.4606,-55.7497,17.81,47,0,2.76,BR,2023-07-22
10,adamstown,-25.066,-130.1015,20.81,68,99,10.63,PN,2023-07-22
11,west island,-12.1568,96.8225,25.99,78,75,8.75,CC,2023-07-22
12,mhamid,29.82,-5.72,33.52,11,0,2.48,MA,2023-07-22
13,kuta,-8.7233,115.1723,27.97,69,20,8.94,ID,2023-07-22
14,wailua homesteads,22.0669,-159.378,26.44,80,40,6.17,US,2023-07-22
15,sept-iles,50.2001,-66.3821,18.29,87,100,3.09,CA,2023-07-22
16,touros,-5.1989,-35.4608,21.96,86,3,6.02,BR,2023-07-22
17,bredasdorp,-34.5322,20.0403,8.82,66,100,1.86,ZA,2023-07-22
18,haiku-pauwela,20.9219,-156.3051,25.02,79,0,8.23,US,2023-07-22
19,dudinka,69.4058,86.1778,27.57,65,100,1.85,RU,2023-07-22
20,olonkinbyen,70.9221,-8.7187,5.68,79,99,2.66,SJ,2023-07-22
21,choibalsan,48.0667,114.5,24.76,42,0,7.51,MN,2023-07-22
22,sitka,57.0531,-135.33,15.94,77,100,0.0,US,2023-07-22
23,san patricio,28.017,-97.5169,29.92,84,0,3.44,US,2023-07-22
24,isafjordur,66.0755,-23.124,10.83,74,81,1.54,IS,2023-07-22
25,arica,-18.475,-70.3042,17.13,77,100,3.09,CL,2023-07-22
26,port mathurin,-19.6833,63.4167,23.01,74,54,9.73,MU,2023-07-22
27,santyoku,37.4406,129.1708,25.83,82,99,6.17,KR,2023-07-22
28,iqaluit,63.7506,-68.5145,4.83,100,100,0.21,CA,2023-07-22
29,dunedin,-45.8742,170.5036,6.0,79,93,2.96,NZ,2023-07-22
30,hawaiian paradise park,19.5933,-154.9731,24.73,93,75,2.06,US,2023-07-22
31,lihue,21.9789,-159.3672,26.77,78,40,6.17,US,2023-07-22
32,tralee,52.2704,-9.7026,15.45,99,100,2.63,IE,2023-07-22
33,portland,45.5234,-122.6762,22.99,60,0,2.57,US,2023-07-22
34,katsuura,35.1333,140.3,25.77,72,2,4.65,JP,2023-07-22
35,longyearbyen,78.2186,15.6401,7.91,66,75,3.09,SJ,2023-07-22
36,invercargill,-46.4,168.35,3.38,85,0,2.74,NZ,2023-07-22
37,papatowai,-46.5619,169.4708,6.18,83,5,6.01,NZ,2023-07-22
38,walvis bay,-22.9575,14.5053,13.42,75,0,1.65,,2023-07-22
39,yuzhno-kurilsk,44.0306,145.8556,17.71,86,43,4.85,RU,2023-07-22
40,udachny,66.4167,112.4,28.03,39,100,8.03,RU,2023-07-22
41,freetown,8.484,-13.2299,25.84,89,75,6.17,SL,2023-07-22
42,luderitz,-26.6481,15.1594,13.44,51,100,3.38,,2023-07-22
43,ust-nera,64.5667,143.2,13.9,93,100,1.89,RU,2023-07-22
44,blackmans bay,-43.0167,147.3167,13.07,71,100,2.78,AU,2023-07-22
45,pelabuhanratu,-6.9875,106.5514,30.28,60,30,1.91,ID,2023-07-22
46,la passe,45.5549,-0.8967,18.88,64,2,3.1,FR,2023-07-22
47,lindi,-10.0,39.7167,29.09,46,18,4.83,TZ,2023-07-22
48,ushuaia,-54.8,-68.3,-6.1,81,98,1.88,AR,2023-07-22
49,puerto natales,-51.7236,-72.4875,-3.31,92,100,0.5,CL,2023-07-22
50,conduaga,8.862,117.4893,26.54,85,100,1.28,PH,2023-07-22
51,tura,25.5198,90.2201,29.33,83,96,0.97,IN,2023-07-22
52,rio grande,-32.035,-52.0986,15.53,90,100,5.69,BR,2023-07-22
53,mana,5.6592,-53.7767,24.54,90,60,3.26,GF,2023-07-22
54,opuwo,-18.0607,13.84,19.48,22,0,1.18,,2023-07-22
55,daru,-9.0763,143.2092,25.75,72,80,5.86,PG,2023-07-22
56,yellowknife,62.456,-114.3525,15.73,58,5,2.94,CA,2023-07-22
57,margaret river,-33.95,115.0667,15.83,63,19,3.44,AU,2023-07-22
